com.baidu.BaiduMap,com.baidu.baidumaps.WelcomeScreen,百度地图
com.android.contacts,com.android.contacts.activities.DialtactsActivity,拨号
com.android.contacts,com.android.contacts.activities.PeopleActivity,拨号/联系人
com.dianping.v1,com.dianping.main.permission.PermissionActivity,大众点评
com.android.email,com.android.email.activity.Welcome,电子邮件
com.zte.mirrorcamera,com.zte.mirrorcamera.MirrorCameraActivity,化妆镜
cuuca.sendfiles.Activity,com.ume.weshare.activity.NewMainActivity,汇分享
com.android.calculator2,com.android.calculator2.Calculator,计算器
com.jingdong.app.mall,com.jingdong.app.mall.MainActivity,京东
com.ume.browser,com.ume.browser.MainActivity,浏览器
cn.zte.recorder,cn.zte.recorder.RecordFilesListActivity,录音机
com.android.MiEasyMode,com.android.MiEasyMode.ELauncher.HomeActivity,亲情模式
com.android.calendar,com.android.calendar.AllInOneActivity,日历
com.android.settings,com.android.settings.Settings,设置
zte.com.cn.alarmclock,zte.com.cn.alarmclock.AlarmClock,时钟
com.zte.videoplayer,com.zte.videoplayer.VideoBrowserActivity,视频
com.android.fmradio,com.android.fmradio.FmRadioActivity,收音机
zte.android.flashlight,zte.android.flashlight.ZTEFlashLight,手电筒
com.sohu.inputmethod.sogou.zte,com.sohu.inputmethod.sogou.zte.SogouIMELauncher,搜狗输入法-中兴版
com.sogou.activity.src,com.sogou.activity.src.SplashActivity,搜狗搜索
com.tencent.qqlive,com.tencent.qqlive.ona.activity.WelcomeActivity,腾讯视频
com.tencent.news,com.tencent.news.activity.SplashActivity,腾讯新闻
com.moji.zteweather,com.moji.zteweather.CSplashScreen,天气
com.android.gallery3d,com.android.gallery3d.app.Gallery,图库
com.sina.weibo,com.sina.weibo.SplashActivity,微博
com.achievo.vipshop,com.achievo.vipshop.activity.LodingActivity,唯品会
zte.com.cn.filer,zte.com.cn.filer.FileMgrActivity,文件管理
com.android.providers.downloads,com.android.providers.downloads.ui.DownloadList,下载管理
com.zte.camera,com.zte.camera.CameraActivity,相机
com.android.mms,com.android.mms.ui.ConversationList,信息
com.android.shotcutkey,com.android.shotcutkey.GuideActivity,兴键
com.android.systemui,com.android.systemui.onelock.OneLock,一键锁屏
com.zte.uninstallapp,com.zte.uninstallapp.UnInstallApp,一键卸载
cn.zte.music,cn.zte.music.activity.MusicBrowserActivity,音乐
zte.com.market,zte.com.market.LoginActivity,应用商店
com.zte.UserHelp,com.zte.UserHelp.UserHelpActivity,用户指南
com.zte.voicesecretary,com.zte.voicesecretary.VoiceSecretaryHomeActivity,语音小秘书
com.slightech.slife.zte,com.slightech.slife.ui.SplashActivity,悦步
com.youdao.note.yz,com.youdao.note.activity2.SplashActivity,云笔记
com.zte.heartyservice,com.zte.heartyservice.main.HeartServiceActivityLauncher,掌心管家
com.chaozh.iReader,com.chaozh.iReader.ui.activity.WelcomeActivity,掌阅iReader
com.zte.handservice,com.zte.handservice.MainActivity,中兴客服
com.bestv.app,com.bestv.app.activity.MainActivity,BesTV
cn.jj,cn.jj.mobile.lobby.view.Main,JJ斗地主
com.tencent.mtt,com.tencent.mtt.SplashActivity,QQ浏览器
com.android.stk,com.android.stk.StkMain,SIM卡应用
com.zte.uia,com.zte.uia.MainActivity,UIA 导航
cn.wps.moffice_eng,cn.wps.moffice.documentmanager.PreStartActivity,WPS Office